GTV100ENTERTAINMENT.tsv,2024-11-29 22:22:29,0,0
ELTASPORTSHD.tsv,2024-11-29 22:25:14,2,0
57ETFN.tsv,2024-11-29 22:26:15,1,0
CTSSHOW.tsv,2024-11-29 22:27:51,1,9
Crimescene_ET.tsv,2024-11-29 22:27:59,1,9
CtsTw.tsv,2024-11-29 22:32:56,1,6
PNNPTS.tsv,2024-11-29 22:32:54,0,6
YukisakanaAnime211.tsv,2024-11-29 22:32:55,0,6
bailingguo.tsv,2024-11-29 22:33:20,0,6
FTV_Forum.tsv,2024-11-29 22:33:37,2,5
FTV_Show.tsv,2024-11-29 22:33:37,2,5
betty_wu.tsv,2024-11-29 22:33:38,0,5
bluepigeon0810.tsv,2024-11-29 22:33:43,0,5
JudicialYuan.tsv,2024-11-29 22:33:44,2,5
KevinWuOfficial.tsv,2024-11-29 22:33:45,2,5
brianptseng.tsv,2024-11-29 22:33:44,0,5
coolestwork.tsv,2024-11-29 22:33:45,0,5
Langeoutdoor.tsv,2024-11-29 22:33:46,2,5
MrHongGaming.tsv,2024-11-29 22:33:49,2,2
Muyao4.tsv,2024-11-29 22:33:52,2,1
FTV_News.tsv,2024-11-29 22:34:09,1,16
NANACIAOCIAO.tsv,2024-11-29 22:34:17,1,1
NyoNyoTV.tsv,2024-11-29 22:34:28,1,1
Pinkfong.tsv,2024-11-29 22:34:29,1,1
TITVNews16.tsv,2024-11-29 22:36:14,1,40
bahagamecrazy.tsv,2024-11-29 22:37:02,1,14
ctseducation.tsv,2024-11-29 22:37:00,0,14
ctvchinatv.tsv,2024-11-29 22:38:40,0,14
cwgv.tsv,2024-11-29 22:38:46,0,14
da.ren.cademy.tsv,2024-11-29 22:38:54,0,14
funnynoproblem.tsv,2024-11-29 22:38:57,0,14
fuqinshizhang.tsv,2024-11-29 22:38:59,0,14
gongmingding.tsv,2024-11-29 22:39:00,0,14
News98.tsv,2024-11-29 22:39:38,2,14
RicherChannel.tsv,2024-11-29 22:40:40,2,14
Sky_game.tsv,2024-11-29 22:40:42,2,14
Sportcasttw.tsv,2024-11-29 22:41:02,2,1
TVBSNEWS01.tsv,2024-11-29 22:41:07,2,1
Tech4AllYall.tsv,2024-11-29 22:41:08,2,1
ebcCTime.tsv,2024-11-29 22:41:17,1,1
TsaiAGa543.tsv,2024-11-29 22:41:12,2,1
gee_video.tsv,2024-11-29 22:41:47,1,23
UCBuHkb1AS_yRQ71meFNQ3VQ.tsv,2024-11-29 22:41:57,2,23
WuWei.tsv,2024-11-29 22:42:06,2,23
YliasDimension.tsv,2024-11-29 22:42:12,2,23
alisasa_official.tsv,2024-11-29 22:42:14,2,23
amazingtalkershow.tsv,2024-11-29 22:42:16,2,23
annie72127.tsv,2024-11-29 22:42:21,2,23
anniefangmd.tsv,2024-11-29 22:42:22,2,23
aottergirls.tsv,2024-11-29 22:42:32,2,1
auntiefairytale.tsv,2024-11-29 22:42:35,2,1
babujushi.tsv,2024-11-29 22:42:36,2,1
baxuan.tsv,2024-11-29 22:42:46,2,1
bbcnewschinese.tsv,2024-11-29 22:42:51,2,1
btschool.tsv,2024-11-29 22:42:55,2,1
collage7275.tsv,2024-11-29 22:42:56,2,1
goodtv.tsv,2024-11-29 22:43:02,0,16
coolmantsai.tsv,2024-11-29 22:43:08,2,1
cupcake_exe.tsv,2024-11-29 22:43:09,2,1
danielmovieseries.tsv,2024-11-29 22:43:11,2,1
dearmarcy.tsv,2024-11-29 22:43:29,2,1
ding-ding9707.tsv,2024-11-29 22:43:30,2,1
domidolosobig.tsv,2024-11-29 22:43:38,2,1
dr_maam.tsv,2024-11-29 22:43:39,2,1
oursport_tv.tsv,2024-11-29 22:43:50,1,12
gtv-drama.tsv,2024-11-29 22:43:57,0,12
fanghuo.tsv,2024-11-29 22:44:01,2,2
goodlanandching.tsv,2024-11-29 22:44:04,2,2
himakundesu.tsv,2024-11-29 22:44:05,0,2
hipstermyass.tsv,2024-11-29 22:44:06,0,2
hsuantien.tsv,2024-11-29 22:44:11,0,2
jessetang1113.tsv,2024-11-29 22:44:23,2,2
lynnwu0219.tsv,2024-11-29 22:44:25,2,2
meisouniv.tsv,2024-11-29 22:44:34,2,2
niaws-5352.tsv,2024-11-29 22:44:34,2,2
playthreesmallgames.tsv,2024-11-29 22:44:36,2,2
playwithshen.tsv,2024-11-29 22:44:40,2,2
river_ytchannel.tsv,2024-11-29 22:44:42,2,2
shasha77.podcast.tsv,2024-11-29 22:44:45,2,2
joeman.tsv,2024-11-29 22:44:48,0,2
tag.talkshwo.tsv,2024-11-29 22:44:52,2,2
techjobntalk.tsv,2024-11-29 22:44:56,2,2
tetsudojimusho.tsv,2024-11-29 22:44:57,2,2
koob.tsv,2024-11-29 22:45:16,0,2
supertaste.tsv,2024-11-29 22:45:27,1,2
kumasan0720.tsv,2024-11-29 22:45:18,0,2
linshanlee531.tsv,2024-11-29 22:45:19,0,2
macromicrom2843.tsv,2024-11-29 22:45:21,0,2
miaopoya.tsv,2024-11-29 22:45:28,0,2
twnexttv.tsv,2024-11-29 22:45:39,1,2
ttv.tsv,2024-11-29 22:45:36,2,2
wenlian.tsv,2024-11-29 22:45:50,1,2
westdoor1016.tsv,2024-11-29 22:45:55,1,2
wujianxiaoshi.tsv,2024-11-29 22:45:56,1,2
yahootw.tsv,2024-11-29 22:45:58,1,2
yuci0323.tsv,2024-11-29 22:46:01,1,2
mnews-tw.tsv,2024-11-29 22:45:58,0,2
newswawawa.tsv,2024-11-29 22:46:46,0,2
nicechordwiwi.tsv,2024-11-29 22:46:49,0,2
nonstoplegs.tsv,2024-11-29 22:46:51,0,2
tvbsfocus.tsv,2024-11-29 22:46:56,2,4
onyourpsy.tsv,2024-11-29 22:46:55,0,4
ourbedtimestory.tsv,2024-11-29 22:47:06,0,4
presidentialoffice.tsv,2024-11-29 22:47:07,0,4
readingoutpost.tsv,2024-11-29 22:47:21,0,4
statementdog_official.tsv,2024-11-29 22:47:26,0,4
tech_wav.tsv,2024-11-29 22:47:28,0,4
tesscube.tsv,2024-11-29 22:47:33,0,4
thisgroupofpeople.tsv,2024-11-29 22:47:35,0,4
yu.tsv,2024-11-29 22:47:58,0,4
yutinghaofinance.tsv,2024-11-29 22:48:08,0,4
vlsports.tsv,2024-11-29 22:48:51,2,1
xilanceylan.tsv,2024-11-29 22:49:03,2,1
yulihong22.tsv,2024-11-29 22:49:03,2,1
zyn.tsv,2024-11-29 22:49:06,2,1
